money_id ,unit_money ,quantity_money ,
money500,cents ,21,
money501,dollars ,60,
money502,cents ,64,
money503,dollars ,28,
money504,cents ,6,
money505,cents ,6,
money506,cents ,13,
money507,cents ,6,
money508,cents ,25,
money509,cents ,10,
money510,cents ,6,
money511,cents ,2,
money512,cents ,6,
money513,dollar ,1,
money514,cents ,25,
money515,cents ,6,
money516,cents ,6,
money517,cents ,1,
money518,cents ,6,
money519,cents ,50,
money520,cents ,29,
money521,cents ,9,
money522,cents ,13,
money523,cents ,20,
money524,dollar ,1,
money525,cents ,25,
money526,cents ,6,
money527,cents ,6,
money528,cents ,6,
money529,cents ,42,
money530,cents ,40,
money531,cents ,14,
money532,dollars ,20,
money533,dollars ,1,
money534,cents ,25,
money535,cents ,10,
money536,cents ,88,
money537,dollars ,3,
money538,dollars ,5,
money539,cents ,8,
money540,cents ,90,
money541,cents ,28,
money542,dollars ,8,
money543,cents ,88,
money544,dollars ,4,
money545,dollars ,2,
money546,cents ,25,
money547,Dollars ,1,
money548,cents ,42,
money549,cents ,25,
money550,dollars ,1,
money551,cents ,75,
money552,dollars ,2,
money553,cents ,50,
money554,dollars ,13,
money555,cents ,93,
money556,dollars ,2,
money557,dollars ,1,
money558,dollars ,1,
money559,cents ,25,
money560,dollars ,2,
money561,cents ,75,
money562,dollars ,1,
money563,cents ,28,
money564,dollars ,2,
money565,dollars ,2,
money566,cents ,50,
money567,Dollars ,1,
money568,cents ,50,
money569,cents ,50,
money570,cents ,48,
money571,Dollars ,1,
money572,cents ,12,
money573,Dollars ,1,
money574,cents ,30,
money575,Dollars ,1,
money576,cents ,63,
money577,dollars ,2,
money578,dollars ,5,
money579,dollars ,1,
money580,dollars ,8,
money581,cents ,90,
money582,dollars ,3,
money583,cents ,70,
money584,dollars ,5,
money585,cents ,35,
money586,dollars ,4,
money587,cents ,0.5,
money588,dollars ,1,
money589,cents ,19,
money590,cents ,25,
money591,cents ,25,
money592,dollars ,3,
money593,dollars ,1,
money594,cents ,30,
money595,cents ,50,
money596,dollars ,9,
money597,cents ,50,
pers_WCDH002 ,L.M. Wheaton ,dollars ,  
pers_WCDH002 ,L.M. Wheaton ,cents ,  
money600,cents ,75,
money601,dollars ,5,
money602,dollars ,5,
money603,dollars ,1,
money604,dollars ,1,
money605,cents ,80,
money606,cents ,80,
money607,cents ,25,
money608,cents ,25,
money609,dollars ,4,
money610,dollars ,4,
money611,dollars ,5,
money612,dollars ,5,
money613,dollars ,3,
money614,dollars ,3,
money615,dollars ,2,
money616,dollars ,2,
money617,dollars ,32,
money618,dollars ,32,
money619,cents ,50,
money620,cents ,50,
money621,dollars ,34,
money622,dollars ,34,
money623,cents ,42,
money624,cents ,42,
money625,dollars ,6,
money626,dollars ,6,
money627,dollars ,20,
money628,dollars ,20,
money629,cents ,9.5,
money630,dollars ,1,
money631,dollars ,1,
money632,cents ,62,
money633,cents ,62,
money634,cents ,93,
money635,dollars ,6,
money636,dollars ,6,
money637,cents ,22,
money638,cents ,22,
money639,dollars ,1,
money640,dollars ,1,
money641,cents ,50,
money642,cents ,50,
money643,dollars ,8,
money644,dollars ,8,
money645,dollars ,5,
money646,dollars ,5,
money647,dollars ,4,
money648,dollars ,4,
money649,dollars ,3,
money650,dollars ,3,
money651,cents ,50,
money652,cents ,50,
money653,dollars ,49,
money654,dollars ,49,
money655,cents ,12,
money656,cents ,12,
money657,dollars ,5,
money658,dollars ,5,
money659,dollars ,10,
money660,dollars ,10,
money661,cents ,16,
money662,cents ,16,
money663,dollars ,5,
money664,dollars ,5,
money665,dollars ,5,
money666,dollars ,5,
money667,dollars ,16,
money668,dollars ,16,
money669,dollars ,4,
money670,dollars ,4,
money671,cents ,32,
money672,cents ,32,
money673,dollars ,2,
money674,dollars ,2,
money675,dollars ,2,
money676,dollars ,2,
money677,cents ,83,
money678,cents ,83,
money679,dollars ,1,
money680,dollars ,1,
money681,dollars ,6,
money682,dollars ,6,
money683,cents ,25,
money684,cents ,50,
money685,cents ,50,
money686,dollars ,2,
money687,cents ,25,
money688,cents ,36,
money689,dollars ,1,
money690,cents ,9,
money691,dollars ,3,
money692,dollars ,5,
money693,dollars ,5,
money694,cents ,50,
money695,cents ,50,
money696,dollars ,4,
money697,dollars ,4,
money698,dollars ,2,
money699,dollars ,1,
money700,dollars ,1,
money701,cents ,30,
money702,cents ,30,
money703,dollars ,9,
money704,dollars ,8,
money705,cents ,50,
money706,dollars ,12,
money707,dollars ,1,
money708,cents ,12,
money709,dollars ,3,
money710,dollars ,3,
money711,dollars ,1,
money712,cents ,5,
money713,dollars ,1,
money714,cents ,9,
money715,cents ,50,
money716,dollars ,1,
money717,cents ,2,
money718,dollars ,2,
money719,cents ,8,
money720,dollars ,11,
money721,cents ,50,
money722,dollars ,2,
money723,cents ,10,
money724,dollars ,1,
money725,cents ,50,
money726,cents ,21,
money727,cents ,25,
money728,dollars ,1,
money729,dollars ,3,
money730,dollars ,10,
money731,cents ,25,
money732,dollars ,50,
money733,dollars ,10,
money734,dollars ,21,
money735,dollars ,26,
money736,dollars ,10,
money737,cents ,84,
money738,dollars ,2,
money739,cents ,4,
money740,cents ,20,
money741,dollars ,8,
money742,dollars ,8,
money743,cents ,3,
money744,cents ,3,
money745,dollars ,10,
money746,dollars ,5,
money747,dollars ,5,
money748,dollars ,10,
money749,cents ,80,
money750,dollars ,7,
money751,dollars ,9,
money752,cents ,42,
money753,dollars ,2,
money754,cents ,50,
money755,dollars ,12,
money756,dollars ,1.8,
money757,dollars ,2,
money758,dollars ,5,
money759,dollars ,4,
money760,cents ,71,
money761,dollars ,1,
money762,cents ,26,
money763,cents ,27,
money764,dollars ,10,
money765,dollars ,32,
money766,cents ,40,
money767,dollars ,6,
money768,cents ,25,
money769,dollars ,1,
money770,cents ,25,
money771,dollars ,4,
money772,cents ,50,
money773,dollars ,1,
money774,dollars ,1,
money775,dollars ,1,
money776,cents ,25,
money777,cents ,25,
money778,dollars ,1,
money779,dollars ,1,
money780,dollars ,5,
money781,dollars ,5,
money782,dollars ,30,
money783,dollars ,2,
money784,dollars ,2,
money785,cents ,58,
money786,dollars ,2,
money787,cents ,50,
money788,dollars ,10,
money789,cents ,90,
money790,  ,  ,
money791,  ,  ,
money792,cents ,75,
money793,dollars ,1,
money794,cents ,50,
money795,dollars ,3,
money796,cents ,60,
