good_id,unit ,quantity ,good ,
good829,  ,  ,  ,
good830,  ,  ,  ,
good831,  ,  ,  ,
good832,  ,  ,  ,
good833,  ,  ,  ,
good834,  ,  ,  ,
good835,  ,  ,  ,
good836,  ,  ,  ,
good837,  ,  ,  ,
good838,  ,  ,  ,
good839,  ,  ,  ,
good840,  ,  ,  ,
good841,  ,  ,  ,
good842,  ,  ,  ,
good843,  ,  ,  ,
good844,  ,  ,  ,
good845,  ,  ,  ,
good846,  ,  ,  ,
good847,  ,  ,  ,
good848,  ,  ,  ,
good849,  ,  ,  ,
good850,  ,  ,  ,
good851,  ,  ,  ,
good852,  ,  ,  ,
good853,  ,  ,  ,
good854,  ,  ,  ,
good855,  ,  ,  ,
good856,  ,  ,  ,
good857,  ,  ,  ,
good858,  ,  ,  ,
good859,  ,  ,  ,
good860,  ,  ,  ,
good861,  ,  ,  ,
good862,  ,  ,  ,
good863,  ,  ,  ,
good864,  ,  ,  ,
good865,  ,  ,  ,
good866,  ,  ,  ,
good867,  ,  ,  ,
good868,  ,  ,  ,
good869,  ,  ,  ,
good870,bushels ,0.5,rye ,
good871,Days ,1,work ,
good872,days ,4,work ,
good873,day ,1,work ,
good874,days ,2,work ,
good875,pounds ,16,veal ,
good876,pounds ,16.25,veal ,
good877,Days ,1,work ,
good878,days ,1.5,work ,
good879,count ,1,hat ,
good880,feet ,25,pine board ,
good881,gallons ,4,Rum ,
good882,dollars ,4,currrency ,
good883,pair ,1,thick shoes ,
good884,gallon ,1,Rum ,
good885,pounds ,01/02/19,starch ,
good886,pound ,01/02/19,Starch ,
good887,bushels ,1,potatoes ,
good888,day ,1,oxen rental ,
good889,day ,1,waggon rental ,
good890,bushels ,1,potatoes ,
good891,count ,1,psalm book ,
good892,bushels ,1,potatoes ,
good893,yards ,6,print hat ,
good894,bushels ,1,potatoes ,
good895,quarts ,28,milk ,
good896,bushels ,1,cider ,
good897,bushels ,0.5,potatoes ,
good898,bushels ,0.5,potatoes ,
good899,piece ,1,bible ,
good900,quarts ,0.5,lune ,
good901,piece ,1,postage of letter ,
good902,bushels ,0.5,rye ,
good903,bushels ,0.5,rye ,
good904,peck ,1,potatoes ,
good905,piece ,1,letter ,
good906,rolls ,2,kitchen paper ,
good907,rolls ,2,kitchen paper ,
good908,peck ,1,potatoes ,
good909,pounds ,3,butter ,
good910,peck ,1,potatoes ,
good911,pounds ,6,butter ,
good912,yards ,5,sheeting ,
good913,pounds ,3.5,veal ,
good914,pounds ,8.75,veal ,
good915,pounds ,8.75,veal ,
good916,pounds ,26.5,veal ,
good917,pounds ,5,veal ,
good918,count ,1,bible ,
good919,feet ,28,pine boards ,
good920,feet ,28,pine boards ,
good921,feet ,6.5,pine wood ,
good922,count ,1,gloves ,
good923,pounds ,100,white lard ,
good924,pounds ,100,white lard ,
good925,pounds ,31,pork spare ,
good926,quarts ,72,milk ,
good927,pounds ,23.25,lard ,
good928,squares ,3,glass ,
good929,squares ,3,glass ,
good930,yards ,5,merin ,
good931,bushels ,3,potatoes ,
good932,bushels ,1,potatoes ,
good933,count ,6,eggs ,
good934,bushels ,1,potatoes ,
good935,pounds ,2.1,jallow ,
good936,count ,1,ribbon ,
good937,count ,2,shoes ,
good938,count ,2,shoes ,
good939,bushels ,10,potatoes ,
good940,bushels ,2,potatoes ,
good941,bushels ,9,potatoes ,
good942,bushels ,3,potatoes ,
good943,bushels ,4,potatoes ,
good944,count ,1,hose ,
good945,count ,1,cravat ,
good946,count ,1,cravat ,
good947,count ,1,palmleaf hat ,
good948,count ,2,shoes ,
good949,yards ,1.125,muslin ,
good950,bushels ,6,corn ,
good951,bushels ,6,corn ,
good952,count ,1,goods ,
good953,bushels ,5,cranberries ,
good954,bushels ,3,cranberries ,
good955,bushels ,25,potatoes ,
good956,bushels ,5,potatoes ,
good957,  ,  ,  ,
good958,  ,  ,  ,
good959,  ,  ,  ,
good960,  ,  ,  ,
good961,  ,  ,  ,
good962,  ,  ,  ,
good963,  ,  ,  ,
good964,  ,  ,  ,
good965,  ,  ,  ,
good966,  ,  ,  ,
good967,  ,  ,  ,
good968,  ,  ,  ,
good969,  ,  ,  ,
good970,  ,  ,  ,
good971,  ,  ,  ,
good972,  ,  ,  ,
good973,  ,  ,  ,
good974,  ,  ,  ,
good975,  ,  ,  ,
good976,  ,  ,  ,
good977,  ,  ,  ,
good978,  ,  ,  ,
good979,  ,  ,  ,
good980,  ,  ,  ,
good981,  ,  ,  ,
good982,  ,  ,  ,
good983,  ,  ,  ,
good984,  ,  ,  ,
good985,  ,  ,  ,
good986,  ,  ,  ,
good987,  ,  ,  ,
good988,  ,  ,  ,
good989,  ,  ,  ,
good990,  ,  ,  ,
good991,  ,  ,  ,
good992,  ,  ,  ,
good993,  ,  ,  ,
good994,  ,  ,  ,
good995,  ,  ,  ,
good996,  ,  ,  ,
good997,  ,  ,  ,
good998,  ,  ,  ,
good999,  ,  ,  ,
good1000,  ,  ,  ,
good1001,  ,  ,  ,
good1002,  ,  ,  ,
good1003,  ,  ,  ,
good1004,  ,  ,  ,
good1005,  ,  ,  ,
good1006,  ,  ,  ,
good1007,  ,  ,  ,
good1008,  ,  ,  ,
good1009,  ,  ,  ,
good1010,  ,  ,  ,
good1011,  ,  ,  ,
good1012,  ,  ,  ,
good1013,  ,  ,  ,
good1014,  ,  ,  ,
good1015,  ,  ,  ,
good1016,  ,  ,  ,
good1017,  ,  ,  ,
good1018,  ,  ,  ,
good1019,  ,  ,  ,
good1020,  ,  ,  ,
good1021,  ,  ,  ,
good1022,  ,  ,  ,
good1023,  ,  ,  ,
good1024,  ,  ,  ,
good1025,  ,  ,  ,
good1026,pair ,1,shoes ,
good1027,pint ,1,N E Rum ,
good1028,pint ,1,Gin ,
good1029,pint ,1,Gin ,
good1030,quart ,1,N E Rum ,
good1031,pint ,1,N E Rum ,
good1032,count ,1,pipe ,
good1033,pound ,01/04/19,tea ,
good1034,gallon ,1,molassses ,
